review_id,user_id,recipe_code,stars,thumbs_up,thumbs_down,reply_count,best_score,created_at,user_name,user_reputation,recipe_name,recipe_number
rev001,user07,202,5,24,5,5,72,2024-01-09 05:15:00,george,100,Luxury Interior Upgrade,7002
rev002,user05,204,3,14,4,3,67,2024-01-29 02:19:00,edward,180,Smart Home Integration,7004
rev003,user04,202,1,10,0,4,95,2024-02-29 03:18:00,diana,300,Luxury Interior Upgrade,7002
rev004,user04,205,2,0,0,5,100,2024-01-26 02:18:00,diana,300,Garden Landscaping Plan,7005
rev005,user01,202,1,28,0,2,64,2024-01-20 06:51:00,alice,150,Luxury Interior Upgrade,7002
rev006,user04,203,4,6,4,1,96,2024-02-10 00:39:00,diana,300,Eco-Friendly Home Kit,7003
rev007,user08,202,4,25,3,1,66,2024-02-08 17:39:00,hannah,190,Luxury Interior Upgrade,7002
rev008,user02,204,3,13,3,3,63,2024-01-01 10:27:00,bob,200,Smart Home Integration,7004
rev009,user02,201,4,23,2,0,75,2024-02-26 17:22:00,bob,200,Basic Renovation Package,7001
rev010,user04,202,5,14,1,3,71,2024-01-31 09:34:00,diana,300,Luxury Interior Upgrade,7002
rev011,user05,204,2,27,0,3,95,2024-01-07 15:25:00,edward,180,Smart Home Integration,7004
rev012,user02,201,5,26,0,0,75,2024-02-17 19:59:00,bob,200,Basic Renovation Package,7001
rev013,user03,204,4,15,1,3,63,2024-02-18 01:00:00,charlie,120,Smart Home Integration,7004
rev014,user03,204,1,12,2,3,78,2024-02-17 11:04:00,charlie,120,Smart Home Integration,7004
rev015,user07,205,4,4,1,2,73,2024-02-06 22:08:00,george,100,Garden Landscaping Plan,7005
rev016,user01,205,5,1,5,2,63,2024-02-10 02:18:00,alice,150,Garden Landscaping Plan,7005
rev017,user01,205,4,16,4,1,63,2024-02-17 15:02:00,alice,150,Garden Landscaping Plan,7005
rev018,user02,202,1,19,0,5,75,2024-01-20 23:53:00,bob,200,Luxury Interior Upgrade,7002
rev019,user07,201,5,7,4,4,62,2024-02-25 00:23:00,george,100,Basic Renovation Package,7001
rev020,user02,204,5,18,4,2,76,2024-02-21 10:48:00,bob,200,Smart Home Integration,7004
rev021,user04,203,2,8,3,1,79,2024-01-08 03:37:00,diana,300,Eco-Friendly Home Kit,7003
rev022,user08,203,1,0,3,4,96,2024-02-09 19:34:00,hannah,190,Eco-Friendly Home Kit,7003
rev023,user02,201,5,6,4,2,68,2024-02-17 02:24:00,bob,200,Basic Renovation Package,7001
rev024,user06,201,2,11,2,1,88,2024-01-29 17:45:00,fiona,250,Basic Renovation Package,7001
rev025,user05,205,5,0,5,4,79,2024-01-18 01:53:00,edward,180,Garden Landscaping Plan,7005
rev026,user02,202,3,3,0,5,95,2024-02-04 15:40:00,bob,200,Luxury Interior Upgrade,7002
rev027,user03,203,3,19,1,5,81,2024-02-05 00:03:00,charlie,120,Eco-Friendly Home Kit,7003
rev028,user04,203,5,15,2,0,65,2024-02-02 13:20:00,diana,300,Eco-Friendly Home Kit,7003
rev029,user07,203,1,0,2,1,100,2024-02-17 19:55:00,george,100,Eco-Friendly Home Kit,7003
rev030,user05,202,4,17,5,3,95,2024-01-08 06:02:00,edward,180,Luxury Interior Upgrade,7002
rev031,user01,201,1,30,5,1,94,2024-01-17 00:47:00,alice,150,Basic Renovation Package,7001
rev032,user01,203,5,17,1,3,68,2024-01-12 18:21:00,alice,150,Eco-Friendly Home Kit,7003
rev033,user01,203,3,28,0,2,73,2024-02-24 21:45:00,alice,150,Eco-Friendly Home Kit,7003
rev034,user04,201,3,24,4,3,99,2024-01-30 05:37:00,diana,300,Basic Renovation Package,7001
rev035,user03,202,2,25,1,3,61,2024-02-14 18:53:00,charlie,120,Luxury Interior Upgrade,7002
rev036,user03,203,4,25,5,5,75,2024-01-08 01:20:00,charlie,120,Eco-Friendly Home Kit,7003
rev037,user05,202,1,12,0,3,74,2024-01-30 00:27:00,edward,180,Luxury Interior Upgrade,7002
rev038,user04,204,3,9,1,1,61,2024-02-16 00:04:00,diana,300,Smart Home Integration,7004
rev039,user04,204,3,8,0,2,82,2024-02-29 15:18:00,diana,300,Smart Home Integration,7004
rev040,user07,205,3,30,0,0,76,2024-01-04 02:48:00,george,100,Garden Landscaping Plan,7005
rev041,user03,205,3,1,0,4,87,2024-01-17 11:27:00,charlie,120,Garden Landscaping Plan,7005
rev042,user06,203,4,19,4,0,84,2024-01-30 13:52:00,fiona,250,Eco-Friendly Home Kit,7003
rev043,user04,203,1,22,3,0,93,2024-01-06 02:59:00,diana,300,Eco-Friendly Home Kit,7003
rev044,user04,203,4,2,5,2,99,2024-02-10 04:23:00,diana,300,Eco-Friendly Home Kit,7003
rev045,user06,201,3,16,2,5,86,2024-01-29 16:45:00,fiona,250,Basic Renovation Package,7001
rev046,user06,204,3,17,1,1,86,2024-02-22 02:59:00,fiona,250,Smart Home Integration,7004
rev047,user07,202,5,18,2,3,95,2024-02-02 19:20:00,george,100,Luxury Interior Upgrade,7002
rev048,user01,203,3,6,3,4,98,2024-02-01 22:32:00,alice,150,Eco-Friendly Home Kit,7003
rev049,user06,204,4,14,5,1,92,2024-01-03 17:24:00,fiona,250,Smart Home Integration,7004
rev050,user08,202,1,9,4,5,100,2024-02-11 21:57:00,hannah,190,Luxury Interior Upgrade,7002
